"GridID","area","ORIGFID","Depth","DistCoast","x.pos","y.pos","impact"
102095,0.25,68,-21.92,26539,423805.73,6137765.76,0
103095,0.25,69,-21.94,26207,424305.73,6137765.76,0
104095,0.25,70,-21.97,25882,424805.73,6137765.76,0
105095,0.25,71,-21.79,25561,425305.73,6137765.76,0
106095,0.25,72,-21.59,25247,425805.73,6137765.76,0
107095,0.25,73,-21.4,24939,426305.73,6137765.76,0
108095,0.25,74,-21.25,24637,426805.73,6137765.76,0
109095,0.25,75,-21.14,24341,427305.73,6137765.76,0
110095,0.25,76,-21,24052,427805.73,6137765.76,0
111095,0.25,77,-20.62,23771,428305.73,6137765.76,0
112095,0.25,78,-19.97,23496,428805.73,6137765.76,0
113095,0.25,79,-19.25,23228,429305.73,6137765.76,0
114095,0.25,80,-18.52,22963,429805.73,6137765.76,0
115095,0.25,81,-17.78,22707,430305.73,6137765.76,0
116095,0.25,82,-16.98,22458,430805.73,6137765.76,0
117095,0.25,83,-16.13,22218,431305.73,6137765.76,0
118095,0.25,84,-16.26,21986,431805.73,6137765.76,0
119095,0.25,85,-16.5,21762,432305.73,6137765.76,0
120095,0.25,86,-16.69,21547,432805.73,6137765.76,0
121095,0.25,87,-16.84,21336,433305.73,6137765.76,0
122095,0.25,88,-17.18,21129,433805.73,6137765.76,0
123095,0.25,89,-17.45,20923,434305.73,6137765.76,0
124095,0.25,90,-17.49,20722,434805.73,6137765.76,0
125095,0.25,91,-17.42,20512,435305.73,6137765.76,0
126095,0.25,92,-17.31,20289,435805.73,6137765.76,0
127095,0.25,93,-17.19,20060,436305.73,6137765.76,0
128095,0.25,94,-17.05,19840,436805.73,6137765.76,0
129095,0.25,95,-16.91,19621,437305.73,6137765.76,0
130095,0.25,96,-16.75,19412,437805.73,6137765.76,0
131095,0.25,97,-16.59,19169,438305.73,6137765.76,0
132095,0.25,98,-16.4,18847,438805.73,6137765.76,0
133095,0.25,99,-16.21,18524,439305.73,6137765.76,0
134095,0.25,100,-16.05,18186,439805.73,6137765.76,0
135095,0.25,101,-15.96,17842,440305.73,6137765.76,0
136095,0.25,102,-15.93,17505,440805.73,6137765.76,0
137095,0.25,103,-15.93,17171,441305.73,6137765.76,0
138095,0.25,104,-15.97,16842,441805.73,6137765.76,0
139095,0.25,105,-15.34,16495,442305.73,6137765.76,0
140095,0.25,106,-14.56,16150,442805.73,6137765.76,0
141095,0.25,107,-13.87,15807,443305.73,6137765.76,0
97094,0.25,126,-21.78,27923,421305.73,6138265.76,0
98094,0.25,127,-21.75,27563,421805.73,6138265.76,0
99094,0.25,128,-21.76,27207,422305.73,6138265.76,0
100094,0.25,129,-21.78,26856,422805.73,6138265.76,0
101094,0.25,130,-21.81,26510,423305.73,6138265.76,0
102094,0.25,131,-21.84,26169,423805.73,6138265.76,0
103094,0.25,132,-21.91,25833,424305.73,6138265.76,0
104094,0.25,133,-21.94,25502,424805.73,6138265.76,0
105094,0.25,134,-21.69,25177,425305.73,6138265.76,0
106094,0.25,135,-21.43,24858,425805.73,6138265.76,0
107094,0.25,136,-21.21,24545,426305.73,6138265.76,0
108094,0.25,137,-21.05,24238,426805.73,6138265.76,0
109094,0.25,138,-20.96,23937,427305.73,6138265.76,0
110094,0.25,139,-20.97,23644,427805.73,6138265.76,0
111094,0.25,140,-20.81,23357,428305.73,6138265.76,0
112094,0.25,141,-19.9,23077,428805.73,6138265.76,0
